imdbId,title,releaseYear,releaseDate,genre,actors,directors,sequel,hitFlop
tt0341549,Rishtey,2002,06-Dec-02,Family,Anil Kapoor | Karisma Kapoor | Shilpa Shetty | Kaivalya Chheda,Indra Kumar,0,2
tt0341562,Satta,2003,07-Feb-03,Crime | Drama,Raveena Tandon | Atul Kulkarni | Shri Vallabh Vyas | Govind Namdeo,Madhur Bhandarkar,0,2
tt0342624,Karz: The Burden of Truth,2002,06-Dec-02,Action,Sunny Deol | Sunil Shetty | Shilpa Shetty | Ashutosh Rana,Harry Baweja,0,2
tt0345043,Chura Liyaa Hai Tumne,2003,21-Mar-03,Action | Drama | Mystery,Zayed Khan | Esha Deol | Gulshan Grover | Rakhi Sawant,Sangeeth Sivan,0,1
tt0345102,Danger,2002,17-May-02,Crime | Drama | Thriller,Ashutosh Rana | Tara Deshpande | Jas Arora | Shishir Sharma,Govind Menon,0,2
tt0345594,Love at Times Square,2003,14-Feb-03,Drama,Dev Anand | Heenee Kaushik | Shoib Khan | Chaitanya Chaudhary,Dev Anand,0,1
tt0346457,The Rising: Ballad of Mangal Pandey,2005,12-Aug-05,Biography | Drama | History,Aamir Khan | Rani Mukerji | Toby Stephens | Coral Beed,Ketan Mehta,0,2
tt0346507,Andaaz,2003,23-May-03,Drama | Musical | Romance,Akshay Kumar | Lara Dutta | Priyanka Chopra | Rajeev Verma,Raj Kanwar,0,6
tt0346548,Avgat,2001,01-Jun-01,Action | Crime | Drama,Ajinkya Deo | Nethra Raghuraman | Sayaji Shinde | Rohini Hattangadi,Mohan Sharma,0,1
tt0346723,Chalte Chalte,2003,13-Jun-03,Drama | Romance,Shah Rukh Khan | Rani Mukerji | Jas Arora | Satish Shah,Aziz Mirza,0,6
tt0347167,The Hero: Love Story of a Spy,2003,10-Apr-03,Action | Adventure | Drama,Sunny Deol | Preity Zinta | Priyanka Chopra | Amrish Puri,Anil Sharma,0,3
tt0347278,Jhankaar Beats,2003,20-Jun-03,Comedy | Musical | Romance,Sanjay Suri | Rahul Bose | Juhi Chawla | Rinke Khanna,Sujoy Ghosh,0,2
tt0347304,Kal Ho Naa Ho,2003,28-Nov-03,Comedy | Drama | Romance,Shah Rukh Khan | Preity Zinta | Saif Ali Khan | Jaya Bhaduri,Nikhil Advani | Ron Reid Jr.,0,6
tt0347332,Khakee,2004,23-Jan-04,Action | Drama,Amitabh Bachchan | Akshay Kumar | Ajay Devgn | Aishwarya Rai Bachchan,Rajkumar Santoshi,0,4
tt0347416,LOC: Kargil,2003,12-Dec-03,Drama | War,Sanjay Dutt | Ajay Devgn | Saif Ali Khan | Sunil Shetty,J.P. Dutta,0,2
tt0347473,Main Hoon Na,2004,30-Apr-04,Action | Comedy | Romance,Shah Rukh Khan | Sushmita Sen | Sunil Shetty | Zayed Khan,Farah Khan,0,6
tt0347779,Pinjar,2003,N/A,Drama,Urmila Matondkar | Manoj Bajpayee | Sanjay Suri | Sandali Sinha,Chandra Prakash Dwivedi,0,1
tt0348172,Tehzeeb,2003,21-Nov-03,Drama,Shabana Azmi | Urmila Matondkar | Arjun Rampal | Dia Mirza,Khalid Mohamed,0,1
tt0348190,Tere Liye,2001,14-Dec-01,Drama | Family | Musical,Imran Ahmed Khan | Sonali Khare | Neelu Kohli | Hiten Paintal,Sanjay Gadhvi,0,1
tt0348258,Tujhe Meri Kasam,2003,03-Jan-03,Romance,Ritesh Deshmukh | Shakti Kapoor | Supriya Karnik | Satish Shah,Vijay K. Bhaskar,0,6
tt0348521,Aapko Pehle Bhi Kahin Dekha Hai,2003,10-Jan-03,Action | Comedy | Drama,Pummy Brar | Priyanshu Chatterjee | Crystal | Harry,Anubhav Sinha,0,1
